"user","window_start_utc","window_end_utc","satellites","point_id","lat","lon","required_interval_hours"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.84916|116.38454|36","-31.84916","116.38454","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.84174|116.35349|37","-31.84174","116.35349","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.84256|116.35692|38","-31.84256","116.35692","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.84339|116.36039|39","-31.84339","116.36039","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.84423|116.36387|40","-31.84423","116.36387","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.84507|116.36741|41","-31.84507","116.36741","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.84591|116.37093|42","-31.84591","116.37093","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.84755|116.3778|43","-31.84755","116.3778","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.84836|116.3812|44","-31.84836","116.3812","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.84997|116.38794|45","-31.84997","116.38794","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.85081|116.39146|46","-31.85081","116.39146","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.85165|116.39499|47","-31.85165","116.39499","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.85249|116.39848|48","-31.85249","116.39848","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.8484|116.35882|49","-31.8484","116.35882","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.85496|116.38631|50","-31.85496","116.38631","12"
"User1","2025-01-01 00:00:00Z","2025-01-15 23:59:59Z","FLOCK 4Q-34;Global-17;ICEYE-X13;Global-19;Global-18;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X","2025-01-01|1637|-31.84761|116.33289|51","-31.84761","116.33289","12"
